"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawBase4","rawBase5","rawBase6","rawPPAO2","rawPPAO3","rawPPAO4","rawPPAO5","rawPPAO6","rawPPDP2","rawPPDP3","rawPPDP4","rawPPDP5","rawPPDP6","rawComb2","rawComb3","rawComb4","rawComb5","rawComb6"
52,114.9071380614,25.51419715882,12.0196500778,12.23622989656,113.086326599,113.93006897,116.24520874,119.469779968,111.80430603,25.9166660309,25.4609241486,25.6877689362,24.8717460632,25.6338806152,12.137178421,12.1263999939,11.9200849533,12.0591678619,11.8554191589,12.3542709351,12.2788267136,12.3434934616,12.1135702133,12.0909881592
53,116.581163025,24.65085525514,11.7083299637,12.45568332672,119.998397827,113.656517029,112.864105225,119.689437866,116.697357178,24.8481369019,24.5268611908,24.4098472595,24.6587581635,24.81067276,11.9929628372,11.603427887,11.8831329346,11.6213903427,11.440735817,12.5174751282,12.5985641479,12.4230422974,12.3681278229,12.3712072372
54,113.9668136598,25.48545608522,11.99409179688,12.36432991026,113.787391663,114.209259033,115.4220047,113.111480713,113.30393219,25.6174564362,24.9769554138,25.7129154205,25.3993377686,25.720615387,11.6819505692,12.3157787323,11.7332725525,12.229557991,12.0098991394,12.4430580139,12.4528093338,12.3568372726,12.2706155777,12.2983293533
55,113.5821014406,25.75151062012,11.91043663024,12.44100513458,114.10559082,115.620101929,112.421195984,111.786849976,113.976768494,25.0462417603,26.3662471771,26.1009120941,25.9330883026,25.3110637665,11.751748085,11.9852647781,11.9159793854,11.7024793625,12.1967115402,12.310133934,12.4173965454,12.4368991852,12.3814716339,12.6591243744
56,115.068699646,25.84584083558,11.80317344664,12.49335365294,116.200561523,115.566726685,114.381187439,115.426620483,113.7684021,25.9202575684,25.7555141449,26.2964496613,25.5676746368,25.6893081665,12.0560894012,11.7353258133,11.8677368164,11.6968336105,11.6598815918,12.3383607864,12.5888128281,12.6180667877,12.3691539764,12.5523738861
57,113.1332382202,25.61212005616,11.9203933716,12.33302326202,114.142539978,113.42300415,112.581832886,113.074012756,112.444801331,25.5189189911,25.5738334656,26.1820011139,25.5384216309,25.2474250793,11.5936765671,12.0057935715,11.826166153,12.5605859756,11.6157445908,12.3855772018,12.2711286545,12.2629175186,12.3958415985,12.3496513367
58,114.6011566162,24.44105072022,11.75616226196,12.40969867708,117.152587891,114.434562683,114.983200073,113.062210083,113.373222351,24.2004528046,23.863779068,24.6813411713,24.3795661926,25.0801143646,11.5710945129,11.7137699127,12.0022010803,12.0961198807,11.3976259232,12.3824977875,12.3496513367,12.4317674637,12.6211462021,12.2634305954
59,115.8641937258,24.9444179535,11.85367450716,12.4649213791,113.928016663,115.489746094,115.418922424,116.589065552,117.895217896,24.9692573547,24.7408752441,24.6659431458,24.9610462189,25.384967804,12.2865257263,11.7425107956,12.3116731644,11.3668327332,11.5608301163,12.1151094437,12.6042098999,12.4420318604,12.5303058624,12.6329498291
60,114.7890960694,25.07682914734,12.0712802887,12.54026222228,118.346336365,114.224143982,111.982391357,112.324195862,117.068412781,24.9128036499,24.9153690338,24.8404388428,25.3187618256,25.3967723846,12.0848293304,12.2973031998,11.9072542191,11.9282970428,12.1387176514,12.4661531448,12.5970249176,12.3932752609,12.6837587357,12.5610990524
61,115.5276229856,24.87328567506,11.87235584258,12.59302158356,115.961914062,118.432556152,114.751731873,114.771240234,113.720672607,25.1288700104,24.759349823,24.365196228,25.0462417603,25.0667705536,11.6347341537,11.976026535,11.5870046616,12.1849079132,11.9791059494,12.7289228439,12.6416749954,12.4964332581,12.6365423203,12.4615345001
62,115.9887023924,25.66395454406,12.13461208344,12.45907058718,116.807189941,114.338592529,119.098205566,115.456390381,114.243133545,25.5066013336,25.3711109161,25.8401947021,26.1050167084,25.4968490601,12.1135702133,12.1879873276,11.9539575577,11.8810806274,12.5364646912,12.4512691498,12.6806793213,12.4009742737,12.327583313,12.4348468781
63,115.8265228272,25.3969768524,11.8338640213,12.78352928162,114.978065491,115.869529724,119.77822876,114.78150177,113.725288391,25.8663692474,24.4791316986,25.602060318,25.7390899658,25.2982330322,11.9862909317,11.7271137238,11.9996347427,11.8266792297,11.6296014786,12.7946147919,12.7427797318,12.9521741867,12.7787046432,12.6493730545
64,117.429725647,25.19610214234,12.0288881302,12.58285961152,118.225730896,120.286827087,114.885688782,118.826202393,114.924179077,24.7126464844,24.6413097382,25.9248771667,24.9928665161,25.7088108063,11.6352472305,12.2978162766,11.8923711777,12.3789052963,11.9401006699,12.7781915665,12.6273050308,12.6622037888,12.4276609421,12.4189367294
65,118.3646087644,25.40672836302,12.13502254488,12.88802127836,118.465408325,116.823097229,120.770797729,118.189804077,117.573936462,24.9004859924,25.0734424591,25.6759643555,26.154800415,25.2289485931,12.0524959564,11.8400230408,12.1284532547,12.1340990067,12.5200414658,12.7740859985,12.6380825043,13.0589237213,12.94190979,13.0271043777
66,119.2093734742,25.65132980348,12.23161087038,12.87529354096,120.688171387,122.231941223,118.281669617,118.793357849,116.051727295,25.5743465424,25.602060318,25.701625824,25.7072715759,25.6713447571,12.5713634491,12.2629175186,12.3214244843,11.9488258362,12.0535230637,12.9665441513,12.5872735977,12.8808364868,12.976808548,12.965004921
67,117.2195083618,25.71055526734,12.00148220062,12.83331146242,115.318847656,118.235992432,118.563941956,117.14591217,116.832847595,25.1694145203,26.2559051514,26.642873764,25.5763988495,24.9081840515,12.18542099,11.7917795181,11.9770526886,12.4158573151,11.6373004913,12.8767299652,12.5882997513,12.8731374741,12.7520170212,13.0763731003
68,117.2797592164,25.49459152222,12.21816444398,12.98481483456,116.365814209,121.899368286,115.25315094,116.425346375,116.455116272,25.5261039734,25.5291824341,25.6975193024,25.1632556915,25.5568962097,12.314239502,12.0530099869,12.8197631836,11.9431800842,11.9606294632,12.8592805862,12.7263565063,13.1856899261,12.8936662674,13.2590808868
69,118.7790863038,25.57147216798,12.05773143768,13.17994155884,117.696083069,123.362052917,117.823364258,117.838249207,117.175682068,26.368812561,25.8176136017,25.2027740479,25.0287914276,25.4393692017,12.3132133484,11.6044540405,12.2670230865,11.9565238953,12.1474428177,13.1600284576,13.1795310974,13.0055484772,13.1307754517,13.4238243103
70,117.4238754274,26.61403045654,12.10720596314,13.02895183562,116.263168335,118.341209412,118.69430542,118.28629303,115.53440094,26.4601669312,26.6392803192,26.8630466461,26.7598876953,26.3477706909,12.1263999939,12.0201635361,12.5908660889,11.883646965,11.9149532318,12.8582544327,13.069188118,13.1292352676,13.0912570953,12.9968242645
71,118.8060836792,25.92600555422,12.1699213028,12.83423557282,117.151046753,118.776420593,122.024085999,120.564994812,115.513870239,26.3908824921,26.0850009918,25.5004425049,25.0344371796,26.6192646027,12.0817499161,12.172077179,12.153087616,12.4071321487,12.0355596542,12.897772789,13.1087064743,12.6729812622,12.9429359436,12.548781395
72,118.8037216188,26.1510017395,12.37069377896,13.10213718412,120.691246033,120.856506348,116.756378174,118.692764282,117.021713257,25.6964931488,26.0023727417,27.2197341919,25.6852016449,26.1512069702,12.3619689941,12.4445981979,12.6134471893,12.1017656326,12.3316888809,13.0348024368,13.4751462936,12.9988775253,13.0609769821,12.9408826828
73,118.2573440552,25.5350337982,12.05619163516,13.00390663146,116.102020264,119.03918457,120.44695282,118.514671326,117.183891296,25.5066013336,25.7904129028,25.7724494934,25.336725235,25.2689800262,12.1766958237,12.4230422974,11.8692760468,12.0935544968,11.7183895111,12.9044446945,13.1584892273,12.7740859985,13.1061401367,13.0763731003
74,118.5300735476,25.99292984008,12.13286685944,13.0285413742,116.387374878,121.863449097,117.480018616,120.58757782,116.331947327,26.1522331238,26.2841320038,26.0393257141,25.18891716,26.3000411987,12.2254524231,12.1900396347,12.0134916306,12.5482683182,11.6870822906,13.2483024597,13.1723461151,12.7320022583,12.9891262054,13.0009298325
75,119.8707092286,25.50085334778,12.30951786042,12.9738319397,123.201416016,123.055656433,117.971687317,118.333511353,116.791275024,26.0059661865,25.1406745911,25.3531475067,25.0400829315,25.9643955231,12.4487037659,12.2131347656,12.2305841446,12.4702587128,12.1849079132,12.9865598679,12.7776784897,13.1389865875,13.1867160797,12.7792186737
76,117.2740127566,26.16660423278,12.17402725222,12.79954185486,118.622962952,115.357337952,118.295013428,116.168739319,117.926010132,26.7142124176,26.3246765137,25.8925437927,26.0870552063,25.8145332336,12.0134916306,12.5149087906,12.0678930283,11.8538799286,12.419962883,12.6555318832,12.8341331482,12.7771654129,12.9429359436,12.7879428864
